# RailSync Synthetic Dataset: Control Office Application (COA) Train Schedules
# Corridors: NDLS-HWH-01, NDLS-CNB-07, CNB-MGS-01, MGS-HWH-01
train_no,train_name,priority,corridor_id,scheduled_arrival,scheduled_departure,delay_minutes
12301,Howrah Rajdhani Express,RAJDHANI,NDLS-HWH-01,2026-08-31 06:00:00,2026-08-31 07:15:00,0
12302,New Delhi Rajdhani Express,RAJDHANI,NDLS-HWH-01,2026-08-31 07:30:00,2026-08-31 08:45:00,0
22436,Vande Bharat Express (NDLS-BSB),RAJDHANI,NDLS-CNB-07,2026-08-31 06:15:00,2026-08-31 07:30:00,0
22435,Vande Bharat Express (BSB-NDLS),RAJDHANI,NDLS-CNB-07,2026-08-31 18:30:00,2026-08-31 19:45:00,5
12260,Sealdah Duronto Express,EXPRESS,NDLS-HWH-01,2026-08-31 08:15:00,2026-08-31 09:30:00,0
12259,New Delhi Duronto Express,EXPRESS,NDLS-HWH-01,2026-08-31 19:00:00,2026-08-31 20:15:00,10
12004,Lucknow Swarna Shatabdi,RAJDHANI,NDLS-CNB-07,2026-08-31 08:00:00,2026-08-31 09:15:00,0
12003,New Delhi Shatabdi Express,RAJDHANI,NDLS-CNB-07,2026-08-31 20:30:00,2026-08-31 21:45:00,0
12305,Kolkata Rajdhani (via Patna),RAJDHANI,CNB-MGS-01,2026-08-31 07:00:00,2026-08-31 08:15:00,0
12306,New Delhi Rajdhani (via Patna),RAJDHANI,CNB-MGS-01,2026-08-31 21:00:00,2026-08-31 22:15:00,0
12397,Mahabodhi Superfast Express,EXPRESS,NDLS-CNB-07,2026-08-31 14:10:00,2026-08-31 15:20:00,15
12398,Mahabodhi Express Return,EXPRESS,NDLS-CNB-07,2026-08-31 16:30:00,2026-08-31 17:45:00,0
12423,Dibrugarh Town Rajdhani,RAJDHANI,CNB-MGS-01,2026-08-31 08:30:00,2026-08-31 09:45:00,0
12424,New Delhi Dibrugarh Rajdhani,RAJDHANI,CNB-MGS-01,2026-08-31 17:00:00,2026-08-31 18:15:00,0
12553,Vaishali Superfast Express,EXPRESS,NDLS-HWH-01,2026-08-31 13:00:00,2026-08-31 14:15:00,25
12554,Vaishali Express Return,EXPRESS,NDLS-HWH-01,2026-08-31 15:30:00,2026-08-31 16:45:00,0
12801,Purushottam Express,EXPRESS,NDLS-CNB-07,2026-08-31 12:45:00,2026-08-31 14:00:00,30
12802,Purushottam Express Return,EXPRESS,NDLS-CNB-07,2026-08-31 17:15:00,2026-08-31 18:30:00,0
12815,Nandan Kanan Express,EXPRESS,CNB-MGS-01,2026-08-31 13:30:00,2026-08-31 14:45:00,0
12816,Nandan Kanan Express Return,EXPRESS,CNB-MGS-01,2026-08-31 16:00:00,2026-08-31 17:15:00,20
FRT-101,Dadri Container Freight rake,FREIGHT,NDLS-HWH-01,2026-08-31 13:45:00,2026-08-31 15:45:00,45
FRT-102,Tughlakabad POL Oil Rake,FREIGHT,NDLS-HWH-01,2026-08-31 16:30:00,2026-08-31 18:30:00,0
FRT-201,Panki Thermal Coal Rake,FREIGHT,NDLS-CNB-07,2026-08-31 14:30:00,2026-08-31 16:30:00,60
FRT-202,Kanpur Fertilizer Special,FREIGHT,NDLS-CNB-07,2026-08-31 17:00:00,2026-08-31 19:00:00,0
FRT-301,Mughalsarai Heavy Steel Rake,FREIGHT,CNB-MGS-01,2026-08-31 15:00:00,2026-08-31 17:00:00,30
FRT-302,Chandauli Foodgrain Freight,FREIGHT,CNB-MGS-01,2026-08-31 18:00:00,2026-08-31 20:00:00,0
12313,Sealdah Rajdhani Express,RAJDHANI,NDLS-HWH-01,2026-08-31 16:45:00,2026-08-31 18:00:00,0
12314,New Delhi Sealdah Rajdhani,RAJDHANI,NDLS-HWH-01,2026-08-31 10:15:00,2026-08-31 11:30:00,0
12401,Magadh Express,EXPRESS,NDLS-CNB-07,2026-08-31 20:00:00,2026-08-31 21:15:00,10
12402,Magadh Express Return,EXPRESS,NDLS-CNB-07,2026-08-31 07:15:00,2026-08-31 08:30:00,0
12565,Bihar Sampark Kranti,EXPRESS,CNB-MGS-01,2026-08-31 14:00:00,2026-08-31 15:15:00,0
12566,Bihar Sampark Kranti Return,EXPRESS,CNB-MGS-01,2026-08-31 18:45:00,2026-08-31 20:00:00,15
12987,Sealdah Ajmer Express,EXPRESS,NDLS-HWH-01,2026-08-31 11:45:00,2026-08-31 13:00:00,0
12988,Ajmer Sealdah Express,EXPRESS,NDLS-HWH-01,2026-08-31 14:30:00,2026-08-31 15:45:00,0
FRT-103,Rewari Auto Car Carrier,FREIGHT,NDLS-HWH-01,2026-08-31 22:00:00,2026-08-31 23:55:00,0
FRT-203,Chunar Cement Hopper Rake,FREIGHT,NDLS-CNB-07,2026-08-31 22:30:00,2026-08-31 23:59:00,0
FRT-303,Singrauli Coal Gondola Rake,FREIGHT,CNB-MGS-01,2026-08-31 23:00:00,2026-08-31 23:59:00,0
