record_id,department,defect_type,corridor_id,severity,days_overdue,asset_age_years,days_since_last_inspection,previous_failure_count,traffic_density_rank,corridor_utilization_pct,maintenance_duration_mins,weather_risk_factor,failure_risk_probability,failure_risk_class,dataset_type
RS-ML-10000,SMMS,POINT_MACHINE_FAILURE,CNB-MGS-01,4,0.3,5.7,55,2,4,41.9,45,0.25,0.4109,HIGH,RailSync synthetic prototype training data
RS-ML-10001,TMS,DRAINAGE_CLEARANCE,HWH-MGS-03,1,0.0,22.6,6,3,4,59.9,60,0.24,0.2929,MEDIUM,RailSync synthetic prototype training data
RS-ML-10002,TDMS,CANTILEVER_INSULATOR_FLASH,NDLS-HWH-01,2,4.6,14.0,179,2,5,47.3,180,0.12,0.4131,HIGH,RailSync synthetic prototype training data
RS-ML-10003,TDMS,CONTACT_WIRE_WEAR,NDLS-CNB-07,3,6.8,2.2,119,3,1,62.2,240,0.62,0.5136,HIGH,RailSync synthetic prototype training data
RS-ML-10004,TMS,FISHPLATE_CRACK,CNB-MGS-01,1,0.7,10.5,352,2,2,49.6,180,0.29,0.3571,MEDIUM,RailSync synthetic prototype training data
RS-ML-10005,TMS,FISHPLATE_CRACK,NDLS-HWH-01,1,0.0,1.7,164,1,5,91.3,150,0.24,0.2967,MEDIUM,RailSync synthetic prototype training data
RS-ML-10006,SMMS,POWER_SUPPLY_FLUCTUATION,NDLS-CNB-07,2,2.0,9.7,290,1,5,63.4,90,0.95,0.4663,HIGH,RailSync synthetic prototype training data
RS-ML-10007,TDMS,CANTILEVER_INSULATOR_FLASH,NDLS-CNB-07,3,0.0,30.2,219,1,5,98.3,120,0.92,0.5483,HIGH,RailSync synthetic prototype training data
RS-ML-10008,TDMS,OHE_DROPPER_SNAP,NDLS-HWH-01,5,0.0,20.6,139,3,3,65.4,240,0.05,0.5548,HIGH,RailSync synthetic prototype training data
RS-ML-10009,TDMS,PANTOGRAPH_ENTANGLEMENT_RISK,NDLS-HWH-01,5,0.0,11.7,330,1,3,84.6,30,0.59,0.5216,HIGH,RailSync synthetic prototype training data
RS-ML-10010,SMMS,INTERLOCKING_CIRCUIT_FAULT,CNB-MGS-01,5,0.0,31.7,160,0,5,95.4,45,0.71,0.6139,CRITICAL,RailSync synthetic prototype training data
RS-ML-10011,SMMS,AXLE_COUNTER_RESET,NDLS-CNB-07,3,1.9,36.0,87,0,2,94.3,90,0.69,0.3059,MEDIUM,RailSync synthetic prototype training data
RS-ML-10012,TMS,DRAINAGE_CLEARANCE,CNB-MGS-01,2,0.0,19.9,64,0,1,74.4,90,0.58,0.2823,MEDIUM,RailSync synthetic prototype training data
RS-ML-10013,TMS,TRACK_TWIST,NDLS-HWH-01,5,2.7,3.2,124,0,5,73.7,90,0.76,0.5645,CRITICAL,RailSync synthetic prototype training data
RS-ML-10014,TDMS,CATENARY_TENSION_LOW,NDLS-HWH-01,1,0.2,16.7,219,1,1,43.5,150,0.77,0.2501,MEDIUM,RailSync synthetic prototype training data
RS-ML-10015,SMMS,AXLE_COUNTER_RESET,HWH-MGS-03,1,2.8,17.8,41,1,1,78.2,30,0.92,0.2454,MEDIUM,RailSync synthetic prototype training data
RS-ML-10016,TDMS,CATENARY_TENSION_LOW,NDLS-CNB-07,2,0.0,18.6,208,4,1,97.6,120,0.88,0.4792,HIGH,RailSync synthetic prototype training data
RS-ML-10017,SMMS,DATA_LOGGER_FAIL,HWH-MGS-03,1,4.8,11.6,32,1,1,42.9,240,0.5,0.1661,LOW,RailSync synthetic prototype training data
RS-ML-10018,TDMS,PANTOGRAPH_ENTANGLEMENT_RISK,NDLS-HWH-01,5,0.0,3.5,98,0,2,63.6,90,0.57,0.4175,HIGH,RailSync synthetic prototype training data
RS-ML-10019,SMMS,EARTH_LEAKAGE,CNB-MGS-01,4,0.0,8.2,163,0,3,66.7,45,0.06,0.3895,HIGH,RailSync synthetic prototype training data
RS-ML-10020,SMMS,EARTH_LEAKAGE,NDLS-HWH-01,1,0.0,8.5,138,0,1,91.4,150,0.31,0.1418,LOW,RailSync synthetic prototype training data
RS-ML-10021,TMS,DRAINAGE_CLEARANCE,NDLS-HWH-01,3,1.1,21.3,342,0,1,83.4,60,0.3,0.4134,HIGH,RailSync synthetic prototype training data
RS-ML-10022,SMMS,RELAY_CHATTER,NDLS-CNB-07,3,6.6,32.5,261,1,1,77.1,120,0.09,0.4791,HIGH,RailSync synthetic prototype training data
RS-ML-10023,TDMS,PANTOGRAPH_ENTANGLEMENT_RISK,HWH-MGS-03,4,4.1,16.5,7,0,2,71.9,150,0.57,0.386,HIGH,RailSync synthetic prototype training data
RS-ML-10024,TMS,RAIL_CORRUGATION,NDLS-HWH-01,2,0.0,34.2,23,4,2,79.0,150,0.75,0.4486,HIGH,RailSync synthetic prototype training data
