# RailSync Synthetic Dataset: Signal Maintenance Management System (SMMS)
# Corridors: NDLS-HWH-01, NDLS-CNB-07, CNB-MGS-01
signal_post_id,fault_type,criticality_flag,hours_since_detection,repair_time_est,target_window_start,corridor_id,start_km,end_km,defect_id
SIG-44,POINT_MACHINE_MOTOR_STALL,CRITICAL,1.5,45,2026-08-31 10:00:00,NDLS-HWH-01,8.5,8.6,SMMS-FLT-2001
SIG-44,TRACK_CIRCUIT_LOW_BALLAST_RESISTANCE,MEDIUM,3.0,60,2026-08-31 10:30:00,NDLS-HWH-01,8.4,8.8,SMMS-FLT-2002
SIG-44,LED_SIGNAL_LAMP_ASPECT_FAILURE,HIGH,0.8,40,2026-08-31 10:15:00,NDLS-HWH-01,8.5,8.6,SMMS-FLT-2003
SIG-44,AXLE_COUNTER_RESET_PULSE_LOST,HIGH,2.1,50,2026-08-31 10:45:00,NDLS-HWH-01,8.3,8.7,SMMS-FLT-2004
SIG-44,INTERLOCKING_RELAY_CHATTER,MEDIUM,4.2,45,2026-08-31 14:00:00,NDLS-HWH-01,8.5,8.6,SMMS-FLT-2005
SIG-45,FACING_POINT_LOCK_SLACK,CRITICAL,1.1,60,2026-08-31 11:00:00,NDLS-HWH-01,22.4,22.6,SMMS-FLT-2006
SIG-45,SIGNAL_CABLE_INSULATION_DROP,MEDIUM,5.0,90,2026-08-31 11:30:00,NDLS-HWH-01,22.0,23.0,SMMS-FLT-2007
SIG-45,DETECTION_CONTACT_WEAR,HIGH,2.4,45,2026-08-31 11:00:00,NDLS-HWH-01,22.4,22.5,SMMS-FLT-2008
SIG-45,DATA_LOGGER_COMM_TIMEOUT,LOW,8.0,30,2026-08-31 15:30:00,NDLS-HWH-01,22.4,22.5,SMMS-FLT-2009
SIG-45,BLOCK_INSTRUMENT_LINE_DROP,HIGH,1.7,55,2026-08-31 16:00:00,NDLS-HWH-01,24.0,24.2,SMMS-FLT-2010
SIG-88,POINT_MACHINE_FRICTION_CLUTCH_SLIP,CRITICAL,0.5,60,2026-08-31 09:30:00,NDLS-CNB-07,312.4,312.6,SMMS-FLT-2011
SIG-88,ELECTRONIC_INTERLOCKING_CARD_ALARM,HIGH,1.9,45,2026-08-31 09:45:00,NDLS-CNB-07,312.4,312.5,SMMS-FLT-2012
SIG-88,TRACK_CIRCUIT_FEED_CHARGER_FAILURE,MEDIUM,3.5,60,2026-08-31 10:00:00,NDLS-CNB-07,312.0,313.0,SMMS-FLT-2013
SIG-88,SHUNT_SIGNAL_RED_ASPECT_FUSED,HIGH,1.2,35,2026-08-31 13:30:00,NDLS-CNB-07,314.0,314.1,SMMS-FLT-2014
SIG-88,AUTO_SIGNALLING_RELAY_MAINTENANCE,LOW,6.0,40,2026-08-31 14:45:00,NDLS-CNB-07,315.0,315.5,SMMS-FLT-2015
SIG-92,AXLE_COUNTER_HEAD_ALIGNMENT_SHIFT,CRITICAL,1.0,50,2026-08-31 10:15:00,CNB-MGS-01,450.2,450.5,SMMS-FLT-2016
SIG-92,GATE_BOOM_LOCK_SOLENOID_STICKING,HIGH,2.3,45,2026-08-31 10:30:00,CNB-MGS-01,452.0,452.2,SMMS-FLT-2017
SIG-92,TRACK_CIRCUIT_RELAY_PICKUP_DELAY,MEDIUM,4.0,55,2026-08-31 10:45:00,CNB-MGS-01,453.0,453.5,SMMS-FLT-2018
SIG-92,AUDIO_FREQUENCY_TRACK_CIRCUIT_NOISE,MEDIUM,5.2,60,2026-08-31 14:15:00,CNB-MGS-01,454.0,455.0,SMMS-FLT-2019
SIG-92,SOLAR_PANEL_STANDBY_BATTERY_FAULT,LOW,10.0,40,2026-08-31 16:00:00,CNB-MGS-01,456.0,456.2,SMMS-FLT-2020
SIG-44,CRANK_HANDLE_INTERLOCK_JAM,HIGH,1.4,45,2026-08-31 11:30:00,NDLS-HWH-01,8.5,8.6,SMMS-FLT-2021
SIG-44,DISTANT_SIGNAL_CURRENT_REGULATOR_DRIFT,MEDIUM,3.1,40,2026-08-31 12:00:00,NDLS-HWH-01,7.2,7.4,SMMS-FLT-2022
SIG-44,GROUND_CONNECTION_RESISTANCE_HIGH,LOW,7.5,45,2026-08-31 15:00:00,NDLS-HWH-01,8.0,9.0,SMMS-FLT-2023
SIG-45,POINT_ROLLER_CLEARANCE_EXCEEDED,HIGH,2.0,50,2026-08-31 12:15:00,NDLS-HWH-01,22.4,22.6,SMMS-FLT-2024
SIG-45,SLOT_INDICATOR_CIRCUIT_INTERMITTENT,MEDIUM,4.5,45,2026-08-31 13:00:00,NDLS-HWH-01,23.5,23.6,SMMS-FLT-2025
SIG-88,LEVEL_CROSSING_CIRCUIT_SURGE_ARRESTOR_BLOWN,CRITICAL,0.9,40,2026-08-31 11:15:00,NDLS-CNB-07,316.2,316.4,SMMS-FLT-2026
SIG-88,CALLING_ON_SIGNAL_ASPECT_DIM,MEDIUM,3.8,35,2026-08-31 12:45:00,NDLS-CNB-07,312.4,312.5,SMMS-FLT-2027
SIG-92,OPTICAL_FIBER_TELECOM_MUX_PORT_ERROR,HIGH,1.8,60,2026-08-31 11:45:00,CNB-MGS-01,450.0,451.0,SMMS-FLT-2028
SIG-92,STATION_MASTER_CONTROL_PANEL_KEY_STICK,HIGH,2.2,40,2026-08-31 12:30:00,CNB-MGS-01,453.0,453.2,SMMS-FLT-2029
SIG-44,TRACK_MAGNET_AWS_TPWS_ALIGNMENT,MEDIUM,4.0,50,2026-08-31 16:15:00,NDLS-HWH-01,8.5,8.8,SMMS-FLT-2030
