# RailSync Synthetic Dataset: Traction Distribution Management System (TDMS)
# Corridors: NDLS-HWH-01, NDLS-CNB-07, CNB-MGS-01
section_id,ohe_defect_type,tension_drop_percentage,duration_needed,earliest_allowed_start,corridor_id,start_km,end_km,defect_id
OHE-09,CATENARY_WIRE_TENSION_LOSS,28.5,120,2026-08-31 10:00:00,NDLS-HWH-01,8.2,9.5,TDMS-OHE-3001
OHE-09,CONTACT_WIRE_DROPPER_BROKEN,18.0,90,2026-08-31 10:30:00,NDLS-HWH-01,8.5,9.2,TDMS-OHE-3002
OHE-09,ISOLATOR_SWITCH_CONTACT_BURNING,30.0,150,2026-08-31 10:00:00,NDLS-HWH-01,8.0,8.8,TDMS-OHE-3003
OHE-09,CANTILEVER_INSULATOR_FLASH_OVER,12.5,75,2026-08-31 14:00:00,NDLS-HWH-01,9.0,10.2,TDMS-OHE-3004
OHE-09,PANTOGRAPH_ENTANGLEMENT_RISK_KINK,26.0,135,2026-08-31 10:15:00,NDLS-HWH-01,8.6,9.0,TDMS-OHE-3005
OHE-12,SECTION_INSULATOR_RUNNER_GROOVE_WEAR,22.0,105,2026-08-31 11:00:00,NDLS-HWH-01,22.2,23.5,TDMS-OHE-3006
OHE-12,AUTO_TENSIONING_DEVICE_PULLEY_JAM,29.0,120,2026-08-31 11:00:00,NDLS-HWH-01,22.5,23.0,TDMS-OHE-3007
OHE-12,FEEDER_JUMPER_STRAND_BREAKAGE,16.5,80,2026-08-31 11:30:00,NDLS-HWH-01,23.0,24.2,TDMS-OHE-3008
OHE-12,DISCONNECTING_SWITCH_BLADE_MISALIGN,9.0,60,2026-08-31 15:30:00,NDLS-HWH-01,24.0,24.8,TDMS-OHE-3009
OHE-12,TREE_BRANCH_ENCROACHMENT_CLEARANCE,5.0,45,2026-08-31 16:30:00,NDLS-HWH-01,25.0,26.5,TDMS-OHE-3010
OHE-22,NEUTRAL_SECTION_PTFE_INSULATOR_DEFECT,31.5,150,2026-08-31 09:30:00,NDLS-CNB-07,311.5,313.0,TDMS-OHE-3011
OHE-22,CONTACT_WIRE_GROOVE_HOTSPOT,19.5,90,2026-08-31 09:45:00,NDLS-CNB-07,312.0,313.2,TDMS-OHE-3012
OHE-22,CROSSOVER_OHE_OVERLAP_ADJUSTMENT,14.0,75,2026-08-31 10:00:00,NDLS-CNB-07,312.4,313.8,TDMS-OHE-3013
OHE-22,RETURN_CONDUCTOR_BOND_DISCONNECTED,7.5,60,2026-08-31 13:45:00,NDLS-CNB-07,314.0,315.5,TDMS-OHE-3014
OHE-22,MAST_EARTH_STRIP_CORROSION,4.0,45,2026-08-31 15:00:00,NDLS-CNB-07,316.0,317.0,TDMS-OHE-3015
OHE-35,SUBSTATION_CIRCUIT_BREAKER_TRIP_TEST,27.0,120,2026-08-31 10:15:00,CNB-MGS-01,450.0,451.5,TDMS-OHE-3016
OHE-35,CATENARY_SPLICE_OVERHEATING,21.0,90,2026-08-31 10:30:00,CNB-MGS-01,451.0,452.0,TDMS-OHE-3017
OHE-35,STAGGER_AND_HEIGHT_MEASUREMENT,8.5,60,2026-08-31 10:45:00,CNB-MGS-01,452.5,454.0,TDMS-OHE-3018
OHE-35,CURRENT_TRANSFORMER_OIL_LEAK,17.0,85,2026-08-31 14:30:00,CNB-MGS-01,453.0,454.5,TDMS-OHE-3019
OHE-35,BIRD_GUARD_REPAIR_ON_GANTRY,3.5,45,2026-08-31 16:15:00,CNB-MGS-01,455.0,456.5,TDMS-OHE-3020
OHE-09,TOWER_WAGON_ANNUAL_OVERHAUL_SECTION,15.0,90,2026-08-31 11:30:00,NDLS-HWH-01,8.0,10.0,TDMS-OHE-3021
OHE-09,ANTI_CREEP_WIRE_CLAMP_SLIPPAGE,23.5,100,2026-08-31 12:00:00,NDLS-HWH-01,8.4,9.1,TDMS-OHE-3022
OHE-12,STEADY_ARM_DISPLACEMENT_ON_CURVE,19.0,80,2026-08-31 12:30:00,NDLS-HWH-01,22.6,23.4,TDMS-OHE-3023
OHE-22,PORTAL_STRUCTURE_TIE_ROD_VIBRATION,11.0,60,2026-08-31 11:30:00,NDLS-CNB-07,313.0,314.0,TDMS-OHE-3024
OHE-35,LIGHTNING_ARRESTOR_SPARK_GAP_CHECK,6.0,50,2026-08-31 12:00:00,CNB-MGS-01,451.5,452.5,TDMS-OHE-3025
